trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0,1.29,0.40287,1.49228,1.23332,0.653305,1.88893,-1.15122,0.248776,-1.09457,-0.098857
0,1.3,0.409415,1.51111,1.2218,0.655736,1.87765,-1.15207,0.23737,-1.16241,-0.0709383
0,1.31,0.415984,1.52983,1.21028,0.658052,1.86568,-1.15264,0.2259,-1.23009,-0.0429114
0,1.32,0.422576,1.54842,1.19875,0.660253,1.85305,-1.15293,0.214368,-1.29758,-0.014784
0,1.33,0.429189,1.56689,1.18722,0.662339,1.83973,-1.15293,0.202778,-1.36486,0.0134363
0,1.34,0.435822,1.58522,1.17569,0.664309,1.82575,-1.15266,0.191134,-1.4319,0.0417418
0,1.35,0.442475,1.6034,1.16417,0.666162,1.8111,-1.1521,0.179437,-1.49869,0.070125
0,1.36,0.449145,1.62144,1.15265,0.667897,1.79578,-1.15125,0.167693,-1.56519,0.0985782
0,1.37,0.455832,1.63931,1.14114,0.669515,1.77979,-1.15013,0.155903,-1.63138,0.127094
0,1.38,0.462535,1.65703,1.12965,0.671015,1.76315,-1.14871,0.144072,-1.69723,0.155664
0,1.39,0.469252,1.67457,1.11817,0.672397,1.74585,-1.14701,0.132202,-1.76273,0.184281
0,1.4,0.475982,1.69194,1.10671,0.673659,1.7279,-1.14503,0.120296,-1.82785,0.212938
0,1.41,0.482725,1.70913,1.09527,0.674803,1.70929,-1.14275,0.108358,-1.89255,0.241627
0,1.42,0.489478,1.72613,1.08386,0.675826,1.69005,-1.14019,0.0963917,-1.95683,0.27034
0,1.43,0.496241,1.74293,1.07247,0.67673,1.67016,-1.13735,0.0843991,-2.02065,0.299069
0,1.44,0.503012,1.75953,1.06111,0.677514,1.64964,-1.13421,0.072384,-2.08398,0.327808
0,1.45,0.509791,1.77592,1.04978,0.678178,1.62848,-1.13079,0.0603495,-2.14681,0.356548
0,1.46,0.516575,1.7921,1.03849,0.678721,1.6067,-1.12708,0.048299,-2.20911,0.385281
0,1.47,0.523365,1.80805,1.02724,0.679144,1.5843,-1.12309,0.0362355,-2.27085,0.414001
0,1.48,0.530158,1.82378,1.01603,0.679446,1.56129,-1.1188,0.0241624,-2.33201,0.442699
0,1.49,0.536953,1.83928,1.00487,0.679627,1.53766,-1.11423,0.0120828,-2.39257,0.471368
0,1.5,0.54375,1.85453,0.99375,0.679687,1.51344,-1.10938,-1.33227E-15,-2.4525,0.5
0,1.51,0.550547,1.86954,0.982682,0.679627,1.48862,-1.10423,-0.0120828,-2.51177,0.528588
0,1.52,0.557342,1.8843,0.971666,0.679446,1.4632,-1.0988,-0.0241624,-2.57037,0.557123
0,1.53,0.564135,1.8988,0.960707,0.679144,1.43721,-1.09309,-0.0362355,-2.62826,0.585599
0,1.54,0.570925,1.91304,0.949805,0.678721,1.41064,-1.08709,-0.048299,-2.68543,0.614008
0,1.55,0.577709,1.92702,0.938966,0.678178,1.3835,-1.08081,-0.0603495,-2.74184,0.642341
0,1.56,0.584488,1.94071,0.92819,0.677514,1.35581,-1.07425,-0.072384,-2.79748,0.670592
0,1.57,0.591259,1.95413,0.917482,0.67673,1.32756,-1.0674,-0.0843991,-2.85231,0.698753
0,1.58,0.598022,1.96726,0.906843,0.675826,1.29876,-1.06027,-0.0963917,-2.90632,0.726816
0,1.59,0.604775,1.9801,0.896277,0.674803,1.26943,-1.05286,-0.108359,-2.95947,0.754773
0,1.6,0.611518,1.99265,0.885787,0.673659,1.23958,-1.04518,-0.120296,-3.01175,0.782617
0,1.61,0.618248,2.00489,0.875375,0.672397,1.2092,-1.03721,-0.132202,-3.06313,0.810341
0,1.62,0.624965,2.01683,0.865044,0.671015,1.17832,-1.02897,-0.144072,-3.11359,0.837936
0,1.63,0.631668,2.02846,0.854796,0.669515,1.14693,-1.02045,-0.155903,-3.1631,0.865395
0,1.64,0.638355,2.03977,0.844635,0.667897,1.11506,-1.01166,-0.167693,-3.21163,0.892711
0,1.65,0.645025,2.05076,0.834564,0.666162,1.0827,-1.0026,-0.179438,-3.25916,0.919875
0,1.66,0.651678,2.06142,0.824584,0.664309,1.04988,-0.993265,-0.191134,-3.30567,0.94688
0,1.67,0.658311,2.07175,0.8147,0.662339,1.01659,-0.983661,-0.202778,-3.35114,0.973719
0,1.68,0.664924,2.08175,0.804912,0.660253,0.98286,-0.973791,-0.214368,-3.39553,1.00038
0,1.69,0.671516,2.09141,0.795225,0.658052,0.948687,-0.963654,-0.2259,-3.43882,1.02687
0,1.7,0.678085,2.10072,0.78564,0.655736,0.914087,-0.953254,-0.23737,-3.48099,1.05316
0,1.71,0.68463,2.10969,0.77616,0.653305,0.879071,-0.942592,-0.248777,-3.52202,1.07926
0,1.72,0.691151,2.1183,0.766789,0.65076,0.843651,-0.93167,-0.260115,-3.56187,1.10515
0,1.73,0.697645,2.12656,0.757528,0.648103,0.807838,-0.920489,-0.271383,-3.60053,1.13083
0,1.74,0.704112,2.13446,0.74838,0.645333,0.771644,-0.909054,-0.282576,-3.63797,1.15629
0,1.75,0.710551,2.14199,0.739348,0.642452,0.735083,-0.897364,-0.293692,-3.67416,1.18152
0,1.76,0.716961,2.14916,0.730433,0.639459,0.698165,-0.885424,-0.304728,-3.70909,1.20652
