trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,dt
0,2.16,0.819235,1.31336,0.560756,0.386104,-1.27139,-0.20736,-0.561792,-3.2356,1.8816,0.01
0,2.17,0.823067,1.30048,0.558776,0.380465,-1.30353,-0.188501,-0.566124,-3.19307,1.89004,0.01
0,2.18,0.826844,1.28729,0.556986,0.374782,-1.33524,-0.169561,-0.570266,-3.14842,1.89795,0.01
0,2.19,0.830563,1.27378,0.555385,0.36906,-1.36649,-0.150544,-0.574218,-3.10163,1.9053,0.01
0,2.2,0.834225,1.25996,0.553975,0.363299,-1.39727,-0.131457,-0.577975,-3.05268,1.9121,0.01
0,2.21,0.837829,1.24584,0.552756,0.357501,-1.42754,-0.112304,-0.581536,-3.00154,1.91833,0.01
0,2.22,0.841375,1.23141,0.551729,0.351669,-1.45729,-0.093092,-0.584896,-2.94819,1.924,0.01
0,2.23,0.844862,1.21669,0.550895,0.345804,-1.4865,-0.0738261,-0.588054,-2.89261,1.92909,0.01
0,2.24,0.848291,1.20168,0.550253,0.339908,-1.51513,-0.0545122,-0.591006,-2.83479,1.93359,0.01
0,2.25,0.85166,1.18639,0.549805,0.333984,-1.54318,-0.0351563,-0.59375,-2.77469,1.9375,0.01
0,2.26,0.85497,1.17082,0.54955,0.328034,-1.57062,-0.0157642,-0.596283,-2.71229,1.94081,0.01
0,2.27,0.858221,1.15498,0.54949,0.322059,-1.59742,0.00365792,-0.598602,-2.64758,1.94351,0.01
0,2.28,0.861411,1.13888,0.549623,0.316063,-1.62356,0.023104,-0.600704,-2.58053,1.9456,0.01
0,2.29,0.864542,1.12251,0.549952,0.310046,-1.64902,0.0425678,-0.602587,-2.51113,1.94707,0.01
0,2.3,0.867612,1.1059,0.550475,0.304012,-1.67378,0.0620432,-0.604247,-2.43933,1.9479,0.01
0,2.31,0.870622,1.08904,0.551193,0.297962,-1.6978,0.0815237,-0.605682,-2.36514,1.9481,0.01
